iter	RMSE
639	31239.90658
640	31230.42187
641	31220.80052
642	31203.28784
643	31178.50558
644	31155.85698
645	31146.5325
646	31138.28917
647	31124.5729
648	31113.27485
649	31103.62466
650	31089.05567
651	31076.4441
652	31069.45808
653	31054.46119
654	31046.3556
655	31026.31997
656	31014.51236
657	31005.35409
658	30987.68702
659	30969.01901
660	30943.09211
661	30931.29155
662	30911.90173
663	30903.14595
664	30892.84602
665	30882.77128
666	30870.90216
667	30852.25308
668	30838.48645
669	30826.43111
670	30817.8806
671	30799.75787
672	30794.10974
673	30775.18003
674	30764.70106
675	30753.45972
676	30735.41856
677	30718.68077
678	30705.97904
679	30696.38318
680	30685.99101
681	30679.0936
682	30669.1753
683	30660.06611
684	30644.40381
685	30632.9227
686	30616.95964
687	30606.70777
688	30596.45064
689	30588.20114
690	30579.18538
691	30561.91929
692	30556.39918
693	30543.4191
694	30529.06159
695	30518.69068
696	30507.76913
697	30497.46751
698	30482.59429
699	30462.99904
700	30457.16389
701	30444.7352
702	30435.87638
703	30418.64639
704	30407.36991
705	30398.19332
706	30389.40185
707	30378.7549
708	30368.42992
709	30359.62406
710	30351.2209
711	30336.08492
712	30315.68608
713	30301.49061
714	30288.29009
715	30272.25461
716	30256.89861
717	30248.7528
718	30238.79409
719	30222.8841
720	30206.55586
721	30195.47271
722	30187.83331
723	30181.65363
724	30160.17724
725	30150.78464
726	30139.33601
727	30134.48356
728	30119.89632
729	30112.23734
730	30101.7528
731	30092.63158
732	30073.78307
733	30066.03143
734	30056.80662
735	30048.62562
736	30039.91918
737	30033.1995
738	30025.18836
739	30015.63147
740	30002.2914
741	29993.99216
742	29982.74416
743	29973.49998
744	29966.56544
745	29948.14542
746	29940.81568
747	29929.91569
748	29924.3474
749	29910.6384
750	29891.51645
751	29884.00385
752	29873.9443
753	29862.41366
754	29833.64932
755	29825.57061
756	29810.23767
757	29802.90744
758	29795.9461
759	29779.54472
760	29773.82818
761	29759.93203
762	29746.65664
763	29730.83329
764	29720.03586
765	29705.57167
766	29695.22237
767	29681.4626
768	29674.82085
769	29656.48988
770	29647.38079
771	29639.14455
772	29630.15877
773	29623.46008
774	29612.83026
775	29602.59082
776	29577.79937
777	29567.03949
778	29550.66225
779	29536.05241
780	29526.90916
781	29520.26854
782	29509.30932
783	29501.74088
784	29494.12377
785	29477.60558
786	29464.15848
787	29452.47685
788	29446.06138
789	29427.23445
790	29413.09428
791	29401.85798
792	29393.24298
793	29385.72036
794	29374.23924
795	29365.44422
796	29353.5309
797	29343.92275
798	29322.02018
799	29311.46205
800	29297.69725
801	29287.51617
802	29282.07668
803	29269.7073
804	29254.20399
805	29245.31286
806	29232.97464
807	29223.41505
808	29203.38056
809	29192.64277
810	29185.75485
811	29174.20389
812	29165.18725
813	29154.52795
814	29144.21726
815	29130.34073
816	29122.99019
817	29115.56881
818	29106.18064
819	29097.51118
820	29084.22371
821	29072.85342
822	29065.25881
823	29058.64297
824	29053.24518
825	29041.87205
826	29033.74615
827	29014.73244
828	29005.62917
829	28995.9681
830	28984.17851
831	28968.90182
832	28963.08913
833	28952.87378
834	28928.53431
835	28917.46446
836	28908.0303
837	28901.81956
838	28892.04287
839	28882.54889
840	28874.27426
841	28865.76818
842	28846.74527
843	28829.69854
844	28818.73199
845	28812.12723
846	28800.9449
847	28788.687
848	28781.40496
849	28768.72186
850	28759.68125
851	28747.11984
852	28732.7717
853	28726.66424
854	28714.82078
855	28705.94331
856	28694.11457
857	28683.80042
858	28674.58273
859	28660.05678
860	28652.50553
861	28645.1514
862	28634.43238
863	28628.36865
864	28618.89043
865	28612.19928
866	28602.89733
867	28595.12701
868	28587.70407
869	28584.55256
870	28576.49169
871	28570.20336
872	28560.49229
873	28548.06188
874	28536.8924
875	28524.26865
876	28512.7404
877	28503.60862
878	28492.41807
879	28486.77864
880	28478.90906
881	28470.73279
882	28462.90871
883	28453.33393
884	28445.36432
885	28436.29126
886	28428.28255
887	28418.24802
888	28407.84461
889	28399.11879
890	28393.58938
891	28382.96634
892	28374.709
893	28362.92577
894	28354.94445
895	28340.08796
896	28328.04275
897	28311.0546
898	28303.47618
899	28293.36752
900	28278.77385
901	28265.42875
902	28253.04077
903	28239.29499
904	28228.02574
905	28217.11923
906	28208.69111
907	28198.36892
908	28188.21129
