iter	Passed	Remaining
263	831	3890
264	834	3887
265	837	3883
266	840	3880
267	843	3877
268	846	3874
269	849	3871
270	852	3868
271	856	3864
272	859	3861
273	862	3857
274	865	3855
275	868	3852
276	871	3848
277	874	3843
278	877	3840
279	880	3836
280	884	3834
281	887	3831
282	890	3828
283	893	3825
284	897	3824
285	900	3821
286	903	3817
287	906	3814
288	909	3810
289	912	3807
290	915	3804
291	918	3800
292	921	3797
293	925	3794
294	928	3791
295	931	3787
296	934	3784
297	937	3782
298	940	3778
299	944	3776
300	947	3773
301	950	3769
302	953	3766
303	956	3764
304	959	3761
305	963	3757
306	966	3754
307	969	3752
308	972	3748
309	975	3745
310	978	3741
311	981	3738
312	985	3735
313	988	3732
314	991	3729
315	994	3725
316	997	3722
317	1000	3719
318	1004	3718
319	1007	3715
320	1010	3711
321	1013	3708
322	1017	3707
323	1021	3706
324	1025	3706
325	1028	3703
326	1031	3700
327	1034	3697
328	1037	3694
329	1040	3690
330	1044	3687
331	1047	3685
332	1050	3682
333	1054	3679
334	1057	3676
335	1060	3673
336	1063	3669
337	1066	3665
338	1069	3662
339	1072	3659
340	1075	3656
341	1078	3653
342	1082	3650
343	1085	3647
344	1088	3643
345	1091	3641
346	1094	3638
347	1098	3635
348	1101	3631
349	1104	3627
350	1107	3624
351	1110	3621
352	1113	3618
353	1116	3615
354	1119	3612
355	1122	3608
356	1125	3604
357	1129	3602
358	1132	3599
359	1135	3595
360	1138	3591
361	1141	3588
362	1144	3586
363	1147	3582
364	1151	3581
365	1155	3578
366	1158	3575
367	1161	3572
368	1164	3570
369	1167	3566
370	1170	3562
371	1173	3559
372	1177	3556
373	1180	3553
374	1183	3549
375	1186	3546
376	1189	3542
377	1192	3539
378	1195	3535
379	1198	3533
380	1201	3529
381	1204	3526
382	1207	3522
383	1210	3519
384	1214	3516
385	1217	3513
386	1220	3510
387	1223	3506
388	1226	3503
389	1229	3499
390	1232	3496
391	1235	3493
392	1238	3489
393	1242	3487
394	1245	3484
395	1248	3481
396	1251	3478
397	1254	3474
398	1258	3471
399	1261	3468
400	1264	3465
401	1267	3462
402	1270	3458
403	1274	3456
404	1277	3452
405	1280	3449
406	1283	3446
407	1286	3442
408	1291	3443
409	1294	3442
410	1297	3439
411	1301	3435
412	1304	3433
413	1308	3431
414	1311	3428
415	1314	3425
416	1317	3421
417	1321	3421
418	1325	3419
419	1328	3416
420	1331	3412
421	1334	3409
422	1338	3407
423	1341	3403
424	1344	3400
425	1347	3397
426	1351	3395
427	1355	3394
428	1358	3391
429	1361	3387
430	1364	3383
431	1367	3380
432	1370	3377
433	1373	3374
434	1376	3371
435	1380	3368
436	1383	3364
437	1386	3361
